timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
6.014,30,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,3.3,0.899,low
6.014,30,2,distracted_phone,high,0.825,0.0,1.0,0.5,0.5,stable,1.0,2,1.33,0.684,low
15.762,60,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,8,13.4,0.893,medium
15.762,60,2,distracted_phone,high,0.825,0.0,1.0,0.5,0.333,stable,0.667,3,10.18,0.761,low
15.762,60,3,distracted_phone,high,1.0,0.0,1.0,1.0,1.0,stable,1.0,1,0.0,0.725,low
29.353,90,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,8,13.4,0.893,medium
29.353,90,2,distracted_phone,high,0.825,0.0,1.0,0.5,0.333,stable,0.667,3,10.18,0.761,low
29.353,90,3,distracted_phone,medium,0.443,0.857,0.143,1.0,1.0,stable,0.857,7,13.59,0.78,medium
41.34,120,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,8,13.4,0.893,medium
41.34,120,2,distracted_phone,high,0.825,0.0,1.0,0.5,0.333,stable,0.667,3,10.18,0.761,low
41.34,120,3,distracted_phone,medium,0.6211,0.583,0.417,1.0,1.0,stable,0.583,12,25.58,0.719,medium
55.339,150,1,attentive,low,0.325,0.5,0.5,0.0,0.0,stable,0.5,2,0.95,0.898,low
55.339,150,2,distracted_phone,low,0.175,1.0,0.0,0.5,0.5,stable,1.0,4,5.0,0.934,low
55.339,150,3,distracted_phone,medium,0.6211,0.583,0.417,1.0,1.0,stable,0.583,12,25.58,0.719,medium
55.339,150,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.613,low
72.243,180,1,attentive,low,0.325,0.5,0.5,0.0,0.0,stable,0.5,2,0.95,0.898,low
72.243,180,2,attentive,low,0.175,1.0,0.0,0.5,0.2,stable,1.0,10,21.91,0.928,medium
72.243,180,3,distracted_phone,medium,0.6211,0.583,0.417,1.0,1.0,stable,0.583,12,25.58,0.719,medium
72.243,180,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.613,low
87.047,210,1,attentive,low,0.325,0.5,0.5,0.0,0.0,stable,0.5,2,0.95,0.898,low
87.047,210,2,attentive,low,0.1487,1.0,0.0,0.425,0.083,stable,1.0,12,21.44,0.923,medium
87.047,210,3,distracted_phone,medium,0.6211,0.583,0.417,1.0,1.0,stable,0.583,12,25.58,0.719,medium
87.047,210,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.613,low
102.141,240,1,attentive,low,0.325,0.5,0.5,0.0,0.0,stable,0.5,2,0.95,0.898,low
102.141,240,2,attentive,low,0.1264,1.0,0.0,0.3612,0.077,stable,1.0,13,29.9,0.914,medium
102.141,240,3,distracted_phone,medium,0.6211,0.583,0.417,1.0,1.0,stable,0.583,12,25.58,0.719,medium
102.141,240,4,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.613,low
