timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
5.111,10,1,distracted_other,high,0.8649,0.0,1.0,0.6141,0.2,stable,0.6,5,4.82,0.93,medium
11.557,20,1,distracted_other,high,0.7454,0.0,1.0,0.2725,0.1,stable,0.7,10,11.27,0.933,medium
18.91,30,1,distracted_other,medium,0.5188,0.267,0.733,0.1209,0.067,stable,0.533,15,18.62,0.935,medium
24.905,40,1,attentive,low,0.3035,0.562,0.438,0.0536,0.0,stable,0.562,16,19.79,0.939,medium
31.789,50,1,attentive,low,0.0519,0.933,0.067,0.0238,0.0,stable,0.933,15,17.44,0.941,medium
37.694,60,1,attentive,low,0.0037,1.0,0.0,0.0106,0.0,stable,1.0,17,19.93,0.941,medium
44.211,70,1,attentive,low,0.0016,1.0,0.0,0.0047,0.0,stable,1.0,16,19.31,0.937,medium
52.513,80,1,attentive,medium,0.35,1.0,0.0,1.0,0.2,stable,1.0,15,19.52,0.92,medium
52.513,80,2,distracted_phone,high,1.0,0.0,1.0,1.0,0.75,stable,1.0,4,6.05,0.914,low
66.858,90,1,distracted_phone,low,0.2975,1.0,0.0,0.85,0.375,stable,1.0,8,18.19,0.885,medium
66.858,90,2,distracted_phone,high,0.9475,0.0,1.0,0.85,0.375,stable,1.0,8,18.19,0.866,medium
66.858,90,3,distracted_other,high,0.9475,0.0,1.0,0.85,0.2,stable,1.0,5,9.5,0.737,medium
81.973,100,1,attentive,medium,0.457,0.5,0.5,0.3771,0.125,stable,0.5,8,19.83,0.831,medium
81.973,100,2,distracted_other,high,0.782,0.0,1.0,0.3771,0.125,stable,1.0,8,19.83,0.865,medium
81.973,100,3,distracted_other,high,0.9475,0.0,1.0,0.85,0.2,stable,1.0,5,9.5,0.737,medium
