timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
11.363,30,1,distracted_phone,low,0.1166,1.0,0.0,0.333,0.333,stable,1.0,6,11.02,0.902,medium
11.363,30,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,6.99,0.868,low
11.363,30,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.746,low
11.363,30,4,attentive,low,0.2164,0.667,0.333,0.0,0.0,stable,0.667,3,4.03,0.905,low
26.692,60,1,distracted_phone,low,0.1166,1.0,0.0,0.333,0.333,stable,1.0,6,11.02,0.902,medium
26.692,60,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,6.99,0.868,low
26.692,60,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.746,low
26.692,60,4,distracted_other,medium,0.4641,0.286,0.714,0.0,0.0,stable,0.714,7,17.7,0.875,medium
26.692,60,5,attentive,low,0.0,1.0,0.0,0.0,0.0,stable,1.0,6,9.94,0.854,medium
42.868,90,1,distracted_phone,low,0.1166,1.0,0.0,0.333,0.333,stable,1.0,6,11.02,0.902,medium
42.868,90,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,6.99,0.868,low
42.868,90,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.746,low
42.868,90,4,distracted_other,medium,0.5317,0.182,0.818,0.0,0.0,stable,0.818,11,33.77,0.832,medium
42.868,90,5,attentive,low,0.0,1.0,0.0,0.0,0.0,stable,1.0,12,26.11,0.863,medium
42.868,90,6,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.719,low
57.97,120,1,distracted_phone,low,0.1166,1.0,0.0,0.333,0.333,stable,1.0,6,11.02,0.902,medium
57.97,120,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,6.99,0.868,low
57.97,120,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.746,low
57.97,120,4,distracted_other,medium,0.5499,0.154,0.846,0.0,0.0,stable,0.846,13,45.86,0.823,medium
57.97,120,5,attentive,low,0.0,1.0,0.0,0.0,0.0,stable,1.0,18,41.22,0.883,medium
57.97,120,6,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.719,low
72.978,150,1,distracted_phone,low,0.1166,1.0,0.0,0.333,0.333,stable,1.0,6,11.02,0.902,medium
72.978,150,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,4,6.99,0.868,low
72.978,150,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.746,low
72.978,150,4,distracted_other,medium,0.5499,0.154,0.846,0.0,0.0,stable,0.846,13,45.86,0.823,medium
72.978,150,5,attentive,low,0.0116,1.0,0.0,0.0332,0.083,stable,1.0,24,56.22,0.889,high
72.978,150,6,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.719,low
