timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
6.582,30,1,distracted_other,medium,0.5414,0.167,0.833,0.0,0.0,stable,0.833,6,6.24,0.793,medium
16.216,60,1,distracted_other,medium,0.379,0.417,0.583,0.0,0.0,stable,0.583,12,15.87,0.84,medium
24.286,90,1,attentive,low,0.2529,0.611,0.389,0.0,0.0,stable,0.611,18,23.94,0.858,medium
31.507,120,1,attentive,low,0.1898,0.708,0.292,0.0,0.0,stable,0.708,24,31.16,0.865,high
37.979,150,1,attentive,low,0.1515,0.767,0.233,0.0,0.0,stable,0.767,30,37.63,0.867,high
45.276,180,1,attentive,low,0.1261,0.806,0.194,0.0,0.0,stable,0.806,36,44.93,0.868,high
52.985,210,1,attentive,low,0.1391,0.786,0.214,0.0,0.0,stable,0.786,42,52.64,0.869,high
61.087,240,1,attentive,low,0.1241,0.809,0.191,0.0,0.0,stable,0.809,47,59.14,0.874,high
69.101,270,1,attentive,low,0.0539,0.917,0.083,0.0,0.0,stable,0.917,48,58.95,0.867,high
76.792,300,1,attentive,low,0.0273,0.958,0.042,0.0,0.0,stable,0.958,48,57.32,0.851,high
85.507,330,1,attentive,low,0.0403,0.938,0.062,0.0,0.0,stable,0.938,48,58.55,0.835,high
