timestamp,frame_id,track_id,behavior,engagement_risk_level,engagement_risk_score,attention_score,looking_away_rate,phone_risk_score,phone_detection_rate,phone_trend,direction_stability,sample_count,observation_duration,avg_confidence,data_quality
6.174,30,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,6,5.82,0.859,medium
13.76,60,1,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,12,13.41,0.86,medium
23.588,90,1,distracted_other,medium,0.5057,0.222,0.778,0.0,0.0,stable,0.778,18,23.24,0.825,medium
23.588,90,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
23.588,90,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.667,3,3.81,0.802,low
36.79,120,1,distracted_other,medium,0.509,0.217,0.783,0.0,0.0,stable,0.609,23,36.44,0.823,high
36.79,120,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
36.79,120,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.889,9,17.01,0.78,medium
50.504,150,1,distracted_other,medium,0.4037,0.379,0.621,0.0,0.0,stable,0.483,29,50.15,0.828,high
50.504,150,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
50.504,150,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.917,12,25.4,0.801,medium
59.386,180,1,distracted_other,medium,0.3341,0.486,0.514,0.0,0.0,stable,0.486,35,59.04,0.828,high
59.386,180,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
59.386,180,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.917,12,25.4,0.801,medium
66.508,210,1,attentive,low,0.2229,0.657,0.343,0.0,0.0,stable,0.657,35,58.06,0.796,high
66.508,210,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
66.508,210,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.917,12,25.4,0.801,medium
72.994,240,1,attentive,low,0.1625,0.75,0.25,0.0,0.0,stable,0.75,36,59.23,0.774,high
72.994,240,2,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,1.0,1,0.0,0.908,low
72.994,240,3,distracted_other,medium,0.65,0.0,1.0,0.0,0.0,stable,0.917,12,25.4,0.801,medium
